"word","weining","dafang","luquan","bijie","panxian","longlin","honghe","shiping","weishan","xide","chuxiong","yongren","shilin"
"󲟋","ʈʼɯ⁵⁵","ʈʼʅ⁵⁵",,"ʈʼʅ⁵⁵","tʼi⁵⁵",,,"sᴀ⁵⁵",,"tsʼa⁵⁵",,,
"󲟌","ɖe²¹","ɖe²¹","nɖʼɯ²¹","ɖe²¹","dɚ²¹","nɖaɯ²¹","da³³","ɖᴀ³³","kʼua³³","dʑi³³","kʼuᴀ³³","kʼua³³",
"󲟍","ɖa³³","gɯ⁵⁵",,"ɖa³³",,,,,,,,,
"󲟎","ɖɯ¹³","ɖɐ¹³","ɖɯ⁵⁵","ɖɿ⁵⁵",,,"dɛ²¹","bæ³³","be⁵⁵",,"pia²¹","ba³³",
"󲟏","ɳɖe³³","ŋɖie²¹",,"nde²¹",,,"ŋɛ⁵⁵",,"ʔu⁵⁵",,,,
"󲟐","tʂʼa³³","dzo²¹","tʂʼa²¹","tʂʼa³³","tsʼa⁵¹","tɕou⁵³",,"tɕʼe³³","tɕʼa³³（du³³）","tɕʼɔ³³","tɕʼe³³",,"tɕʼe³³"
"󲟑","tʂʼo⁵⁵","tsʼo⁵⁵","tʂʼɔ²¹","tʂʼo⁵⁵、tʂʼo²¹","tsʼo⁵⁵","tɕʼɔ²¹","tsʼa⁵⁵","tsʼᴀ²¹","tʂʼu⁵⁵","tɕʼo³³","tʂʼa³³","tʂʼɐ³³","kɐ³³"
"󲟒","ɳdʐe²¹","dʑie²¹","ɳdʐʼɚ²¹","ndʐe²¹","ȵdʑɚ⁵¹","ndʑɚ²¹","dʑɛ²¹","dzɛ²¹","ɕiŋ⁵⁵","ȵdʑɿ²¹","dʐɿ³³","ɕi⁵⁵",
"󲟓","la³³","la³³",,"la³³","la⁵¹",,,,"na⁵⁵",,,,
"󲟔","ɳdʐʅ²¹","ndzɿ²¹","ɳdʐʼɯ²¹","ndʐi²¹","ȵdʑi²¹","ndʑi²¹","dzʅ²¹","dʑi²¹","dʐʅ⁵⁵","ɳdʐɿ³³","dʐʅ³³",,"tʂʅ³³"
"󲟕","ʂu⁵⁵","ȵɐ³³",,,,"ɕɔ⁵³","sɐ⁵⁵","na³³",,,,,
"󲟖","ʂu³³","sɐ³³","ʂɯr⁵⁵","ʂu¹³","sɿ³³","ɕaɯ⁵⁵","ʂʅ³³","sɿ³³","ȵiu²¹","ʂɿ⁵⁵","ʂɯ⁵⁵","ʂɯ⁵⁵","ʂʅ⁵⁵"
"󲟗","tɕi⁵⁵","ʔʊ³³","tɕe⁵⁵",,"tɕɪ²¹",,"ɣɤ²¹","（ɣɤ²¹）dzɤ⁵⁵","de²¹","si³³",,,"dʑɿ³³"
"󲟘","tɕy³³","kɯ³³",,"kɯ³³","kɯ³³","kɯ⁵³","to³³","to³³","（ɪ²¹da²¹）","（i⁵⁵ni³³）ku³³","mi⁵⁵","（ʑi²¹）pɯ⁵⁵",
"󲟙","dʑi³³","dʑi³³","tɚr²¹","dʑi³³",,"ta⁵³","ta³³","tær³³","ɕa¹³","bi⁵⁵","ɕa⁵⁵","tɛ⁵⁴","ʂa⁴⁴"
"󲟚","ȵɪ³³","ȵi³³","ȵi²¹","ȵi²¹","ȵɪ²¹","ni³³","ȵi⁵⁵","ȵi²¹","di⁵⁵","ȵi³³","ɣɯ⁵⁵","di³³","ni³³"
"󲟛","ȵɪ¹³","ȵi⁵⁵","li³³","ȵi⁵⁵",,"ŋi⁵⁵",,"tsʼær²¹",,,"mɯ²¹",,"zi²¹（tɕʼɛ¹³）"
"󲟜","to³³","tɐ³³","ɕe³³",,,"pe¹³","te³³","to³³","bᴀ²¹","po²¹",,,"ti³³"
"󲟝",,,,"ʑe²¹",,,,,,"ʑɛ²¹",,,
"󲟞","kɯ¹³","kɐ¹³","kɯ⁵⁵","ku¹³","kɯr²¹","kɯ⁵⁵","kɯ²¹","kɯ²¹","ʔɛ⁵⁵","kɯ⁵⁵","kɯ⁵⁵",,"kɯ⁵⁵"
"󲟟","kʼe²¹","bɯ²¹","kɔ²¹","kʼue²¹","kɚ³³","kʼo³³",,,"kᴀ²¹",,,,
"󲟠","kʼu³³","kʼɐ³³",,"kʼu³³","kʼʊ³³",,"kʼo³³","kʼo³³",,,,,
"󲟡","gɪ³³","guɛ¹³","dʑi⁵⁵","kui³³","dʑi²¹","gi⁵⁵","dʑi²¹","dʑi²¹","bɤ²¹","gi⁵⁵","pe⁵⁵","pe⁵⁵",
"󲟢","ŋge³³","ŋgɯ³³",,"ŋge³³","ȵdʑɚ³³",,,"nu³³","ȵy⁵⁵",,,,
"󲟣","ŋge³³","ŋge³³","no³³","ŋge¹³","ȵdʑɚ³³",,"gɛ³³","kæ²¹","gɯ²¹","ȵdʑi³³",,,
"󲟤",,"hɛ³³",,"hi³³",,"hɯ³³","xɤ³³","xɤ³³",,,,,
"󲟥","ʔa⁵⁵、ʔa³³、ʔa²¹","ʔa⁵⁵","ʔa⁵⁵","ʔa⁵⁵、ʔa³³、ʔa²¹","ʔa³³","a³³、a²¹","a⁵⁵、a³³、a²¹","ʔᴀ⁵⁵","a⁵⁵、a²¹","a⁵⁵、a³⁴、a³³、a²¹","ɔ²¹、ɔ⁵⁵、ɔ³³","a⁵⁵、a³³、a²¹",
"󲟦","ʔui⁵⁵","ʑi³³",,,,,"tɕe²¹","tɕer²¹",,"nɯ³⁴",,,
"󲟧","ho⁵⁵dŋo⁵⁵sŋu²¹",,,"ŋo⁵⁵",,,,,,,,,
"󲟨","hɯ³³","ʈo³³",,"hi³³","hɚ⁵¹",,,"xə⁵⁵",,,,,
"󲟩","hɯ²¹",,,,,,,,,,,,
"󲟪","pi⁵⁵","pu⁵⁵","pu⁵⁵",,"pu⁵⁵",,"pu²¹","pu²¹",,"pu²¹",,"pɯ⁵⁵cpɯ²¹","pu²¹"
"󲟫","pi⁵⁵","pi⁵⁵","pi⁵⁵","pi⁵⁵","pi⁵⁵",,,,,,,,
"󲟬","pi²¹",,,"pi²¹","pi²¹",,,,"dʊ⁵⁵",,,,
"󲟭",,,,"ba³³",,,"pa⁵⁵","pa⁵⁵",,,,,
"󲟮",,,,"po²¹",,,"pʼo²¹","po²¹",,,,,
"󲟯","pu³³","pu³³",,"pu³³",,"mbe⁵³","ber³³","po⁵⁵","bɪ³³","ŋgu³³",,"be³³","be³³"
"󲟰","pu³³","pu³³","po³³","pu³³","pʊ³³","pʼɯ²¹;paɯ³³","pʼu³³","pur²¹","pa²¹",,"pʼu³³","po⁵⁵","pɐ⁵⁵"
"󲟱",,,,,,,"pɤ²¹","pɤ²¹","tsʼi²¹",,,,"pɤ²¹"
"󲟲","pʼa²¹","pa²¹","pʼar²¹",,"pʼa⁵¹","pʼe²¹","pe³³","pʼer³³","tɕʼy²¹","pʼa³³","bɛ⁵⁵","bɛ²¹","pʼe³³"
"󲟳",,"tu⁵⁵","be²¹",,,,"be³³","bɛ³³","ge²¹（na²¹）","ge²¹（na²¹）",,,"ʐɯ²¹"
"󲟴",,,,,,"pɔ⁵³",,"bæ³³","kʼu⁵⁵","ȵʊ³³",,"ʑɛ³³",
"󲟵",,,,,,,,,,"bo⁵⁵",,,
"󲟶","bu³³","bu³³","bo²¹","bu³³",,,,"bo²¹",,,,,"bo²¹"
"󲟷","bu³³","bu³³","bo²¹","bu³³","bʊ³³",,"bo³³","bo³³","tsʼɿ⁵⁵",,,,"bo²¹"
"󲟸","mbi²¹","mbu²¹","mbʼu²¹","mbu²¹","mbu²¹","mbɯ³³","bu²¹","bu²¹","bi⁵⁵","mbu³³","bu³³","bɯ³³","pu³³"
"󲟹","mi⁵⁵","ȵi¹³",,"ȵi¹³",,"ȵit、ŋi⁵⁵",,"（ȵe²¹）tsʼɤ³³",,"ȵo⁵⁵",,,"na³³"
"󲟺","mu³³","mu³³","mu²¹","mu³³","mu²¹","dʑaɯ³³","mo⁵⁵","mo⁵⁵","ʔm⁵⁵","（a³³）mu³⁴","mo⁵⁵","mu³³","mu³³"
"󲟻","fa¹³","fa¹³","far⁵⁵","fa¹³","fa²¹","fe⁵⁵","fe²¹","fer²¹","va²¹","va⁵⁵","fa³³","fe²¹","fe⁵⁵"
"󲟼","fu¹³","fɯ³³","fi³³","fu³³",,"vei³³","vɤ","vɤ⁵⁵","by⁵⁵","mbi³³","bə⁵⁵","fəŋ³³","fi³³"
"󲟽","vi²¹",,"dʐɯ²¹","vi²¹",,,,,,,,,
"󲟾","ve³³","vie³³","vɚ³³",,"vɚ²¹bve³³",,"vɛ²¹","vɛ²¹",,"vi³³",,,
"󲟿",,"tɕie³³",,"dzɿ²¹",,,"tʂʅ³³","tsæ²¹",,,,,
"󲠀","tso⁵⁵","tʼa¹³","si⁵⁵","ȵde²¹",,"tʼɔ²¹","tsʼɤ³³","tsʼɤ³³","ʑɪ²¹","tʼur³³","tɕi⁵⁵","tuʼ³³","tɬe⁵⁵、tsɤ⁴⁴"
"󲠁","tsɯ³³","tɐ²¹","tso²¹","tsɿ³³",,"tɕou²¹","tsɤ³³","tsɤ⁵⁵","pa²¹","tsi³³",,"tsa³³","tsi⁵⁵"
"󲠂","tsɯ²¹","dzɯ²¹","tsɤ²¹","dzɿ²¹",,"dʑə²¹","dzɤ²¹","dzɤ²¹",,"dzi²¹",,"dze³³","dzɯ³³"
"󲠃",,"so²¹",,"su²¹、tɕʼe³³",,,"tsɤ³³","tsɤ³³","dʑy³³",,,,
"󲠄","tsʼo⁵⁵","ʑo³³",,"ʑo³³",,,,"tsʼa²¹",,"tsʼo⁵⁵",,,
"󲠅","tsʼo²¹","tsʼo²¹","tsʼo³³","tsʼo²¹","tsʼʊ³³","tɕʼou⁵⁵","dzu³³","dzu³³",,"vi³³","tsʼu³³","tsʼɔ³³","tsʼo³³"
"󲠆",,,,"tsʼo¹³",,,,"tʼæ³³","tsʼᴀ³³","tsʼɔ²¹",,,
"󲠇","tsʼɯ²¹","tsʼɯ²¹","tsʼi²¹","tsʼɪ²¹","tɕʼi²¹","tɕiʼɯ²¹","ȵe²¹（mu²¹）","（ȵe²¹）be²¹","（ʔm²¹）tsʼɿ³³","tsɿ⁵⁵",,"tsʼe³³","（ni⁵⁵）tsʼɯ³³"
"󲠈","tsʼɯ²¹","tsʼɯ²¹",,"tɕʼi²¹","tɕɪ²¹",,,,"ʑi¹³",,,,
"󲠉","ndza³³","ndza³³","ndzʼa²¹","ndza³³",,"ndʑe²¹","dze³³","dzu²¹","dʑi⁵⁵","ndzɔ³³","dze³³","dze³³","dze³³"
"󲠊",,,,,,,,,,"ndzɯ³³",,,
"󲠋","se²¹","ɕie²¹",,"ɕie²¹","ɕɚ²¹",,"sɛ²¹","sɛ²¹","sɿ²¹","si³³",,"ɕɚ²¹","sɿ²¹"
"󲠌","sa¹³","sa⁵⁵",,"sa⁵⁵",,,,,,"ɕa⁵⁵",,,
"󲠍","sa²¹","tɕʼinb²¹","sar²¹","sa²¹",,"tɕʼɚ³","ʂʅ²¹","tsʼɛ⁵⁵","tɕʼi²¹","ɕɿ³³","tsʼe²¹","tsʼe²¹","tsʼɿ³³"
"󲠎","sɯ³³","sɯ³³ssɤ³³","sɯ³³","sɤ³³",,"ɕɯ⁵³","sɤ³³",,"ɕy²¹","ʂu³³","sə³¹","ʑo³³","ɣɯ³³"
"󲠏","sɿ²¹","ɕi²¹",,"ɕi²¹",,"hɯ²¹",,"xɯ²¹",,"ho³³","tsʼi³³","ke²¹","tsɿ³³"
"󲠐",,,,,,,,,,,,,
"󲠑",,,,,,,,"tɛ⁵⁵","kʼai⁵⁵",,,,
"󲠒","to³³",,,"to¹³",,,,,,,,,
"󲠓","to³³","to³³","tʼo²¹","tʼo³³、kui³³",,,,"to³³","to³³",,,,
"󲠔","to¹³","ti⁵⁵",,"ti⁵⁵","to³³","tei²¹",,,,,,,
"󲠕","to²¹","dɯ²¹","ndʼɯ⁵⁵","to²¹",,"ndɯ⁵⁵",,"dɯ²¹",,,,,
"󲠖","to²¹","to²¹",,,,,,,,,,,
"󲠗",,"nu³³",,"tɪ³³",,,"tʼe³³","tʼe³³","dy⁵⁵","tɕʼi³³",,,
"󲠘","tʼɯ²¹","tʼɯ²¹","tʼe²¹",,,,"tʼe²¹","tʼe²¹","bɪ³³","tʼi³³",,"tʼe³³",
"󲠙",,"dzɿ²¹",,"dɪ³³",,,,,,,,,
"󲠚","do³³",,,,,,,,,,,,
"󲠛","do¹³","do¹³","do⁵⁵","do¹³","dur²¹","dou⁵⁵","dɯ²¹","dɯr²¹","tu¹³","tʼu³³",,"tu⁵⁵","to⁵⁵"
"󲠜",,"tʼo¹³","dɔ³³","dɤ³³",,,,,,,,,
"󲠝","dɯ²¹",,"di³³","dɤ²¹","dɪ²¹","dei²¹","dɤ²¹","dɤ²¹","di⁵⁵","di²¹",,,
"󲠞","nɪ³³","ȵi³³",,,,,"na³³",,,,,,
"󲠟",,"ne³³",,,"nɚ⁵¹",,"ȵe³³",,"dzɿ⁵⁵",,,,"ne⁵⁵"
"󲠠",,"tsu³³",,"tsʼu³³",,,"no⁵⁵",,"fei²¹","no⁵⁵",,,
"󲠡","no³³","nɐ³³","no³³","no³³","nb³³","no³³","no³³","no³³",,,,"no³³",
"󲠢","no¹³","ɳo¹³","ɳo⁵⁵","nu¹³","nu²¹",,"nu³³","kʼo³³",,"mo³³",,"mɯ³³",
"󲠣","nʊ³³","nʊ³³","lu³³","nu¹³","nu⁵¹",,"no⁵⁵","nɯ⁵⁵",,,,,
"󲠤","nɯ⁵⁵","nɯ³³","ne⁵⁵",,"no⁵⁵","ɣo⁵³、nə⁵⁵","ne²¹","ȵe²¹","tɕi²¹",,,,"nɯ⁵⁵"
"󲠥","nɯ¹³","nɯ³³",,"nɤ³³",,"nɤ⁵⁵",,"ȵe³³",,,,,"ȵe²¹"
"󲠦","ɬo⁵⁵、ɬo²¹","ɬʊ⁵⁵","ɬo²¹","ɬu⁵⁵","ɬo⁵¹","ɬo²¹","ɬo²¹","ɬo²¹","la³³","ɬɯ²¹","tʼɔ²¹","lɔ³",
"󲠧","ɬo¹³","ɸo¹³","lcor⁵⁵","ɬo¹³","ɬur²¹","ɬou⁵⁵","ɬɤ³³","ɬu²¹","lo²¹","ɬu⁵⁵","lu⁵⁵","lu⁵⁵","lo⁵⁵"
"󲠨",,,"lu³³",,,,"li³³","li⁵⁵","ly²¹","ɬu²¹",,,
"󲠩","lu²¹","lʊ²¹","lu²¹","lu²¹","lu²¹",,"lo²¹","lo²¹","kʼa³³","lu³³",,"lo²¹","lo³³"
"󲠪","ʈo²¹","ʈu²¹","to⁵⁵","ʈu²¹",,"dou²¹","bo²¹","dᴀ³³","bᴀ³³","ndu⁵⁵",,,
"󲠫","ʈʼʊ⁵⁵","ʈʼʊ¹³","ʈʼo⁵⁵","ʈʼo¹³",,,"gɯ²¹","gɤ²¹","tɕʼɪ³³","tɕʼu⁵⁵",,,
"󲠬",,"ʈʼʊ²¹",,"ʈʼo¹³",,,,,,"m̩u⁵⁵",,,
"󲠭","ɖɯ²¹","ɖʅ²¹","ɖə²¹",,"dɐ²¹","dɯa²¹","de⁵⁵","de⁵⁵","by⁵⁵","dʑi³³","by⁵⁵",,"tɬɯ³³"
"󲠮","ɳɖo³³","ɳɖo³³",,"ɳɖo³³","ndu⁵¹",,"du²¹","du³³","tʂʼᴀ³³",,,,
"󲠯","ɳɖɯ¹³","he³³",,"ɳɖu¹³",,,,"dzæ²¹",,,,,
"󲠰","tʂʼo⁵⁵","tsʼo⁵⁵","tʂʼo²¹","tʂʼa⁵⁵",,"tɕʼɔ²¹","gɯ²¹","tsʼu³³","tɕʼɪ³³",,,,
"󲠱","tʂʼu³³","fu³³","tʂʼʅ⁵⁵","tɕʼi⁵⁵",,,"tʼɯ²¹","tʼɯ²¹",,,,,
"󲠲","tʂʼɯ²¹","tsʼɪ²¹",,"tʂʼʅ²¹",,,,,,,,,
"󲠳","dʐo³³",,,"dʐo³³","dzo³³",,"dʑa²¹","fᴀ、dzɤ²¹",,,,,"dzᴀ²¹"
"󲠴",,"de³³",,"ndʐo²¹",,,"dʑɤ³³","dɤ³³、ʈʼᴀ³³","laŋ⁵⁵","ɳdʐo²¹",,,
"󲠵","ʂo³³","sʊ³³","tɕʼi³³","ʂʊ³³","sʊ³³","ɕʊ⁵³","ʂo³³","so³³","ʂa³³","hi³³",,,"ʂa⁵⁵"
"󲠶","ʂu⁵⁵","ɕi⁵⁵",,"ʂʅ⁵⁵",,,,,,,,,
"󲠷","ʂu²¹",,,,,,,"sɿ²¹",,,,,
"󲠸","tɕʼi³³","tɕʼy³³","tɕʼi³³","tɕʼy³³","tɕʼi³³","kʼi⁵³","tɕʼi³³","tɕʼi³³","kʼɯ²¹","kʼɿ³³","tɕʼi²¹","tɕʼi²¹","tʂʼɿ²¹"
"󲠹",,,,,,,,,,"tɕʼi⁵⁵",,,
"󲠺","tɕʼa³³",,,,"tɕʼa³³",,,,,,,,
"󲠻","tɕʼʊ³³","sʊ²¹","tɕʼo³³","tɕʼʊ³³",,,"tsʼʅ²¹","tsʼær³³",,,,"tsʼa³³","tʼɛ²¹"
"󲠼","tɕʼʊ³³","tɕʼʊ³³",,"tɕʼʊ³³","tsʼo³³",,,,,"（xo³³）tɕo³³",,,
"󲠽",,"tʼa²¹","dze²¹","ȵdʑe⁵⁵",,,,"tsᴀ⁵⁵",,"ȵdʑɛ⁵⁵",,,
"󲠾","ȵdʑo³³","ȵdʑo³³",,"ȵdʑo³³",,,,"pu³³","ɣa³³、paŋ⁵⁵","vʊ⁵⁵",,,
"󲠿","ȵɪ³³","ȵi³³","ȵi³³","ȵi³³","ȵɪ³³","ne³³","ȵi³³","ȵi³³","le³³","（si³³）ȵi³³","ȵi¹³","nɛ³³","nɛ³³"
"󲡀","ȵɪ²¹","ȵi²¹","di²¹","ȵi²¹","nɯ²¹","ne⁵³","ȵe³³","nu³³","lu³³","ȵu²¹","xa³³","nɔ³³","bi³³"
"󲡁","ȵy³³","ȵi³³","ȵɯ³³","ȵi³³","ȵɪ⁵⁵","ȵi⁵³","ȵɯ³³","ȵi³³","n²¹","ȵu³³","ȵi²¹","ni²¹","ŋɯ²¹"
"󲡂","ɕɪ³³","xa¹³","xer²¹","ɕi³³",,"xo⁵⁵","xɤ³³","xɤr³³","lo⁵⁵","ʂɔ³³",,"ʂo³³","xɤ³³"
"󲡃","ʑe³³","ɣɯ³³","ɣç³³","ɣe³³","ɣɚ⁵³","ɣɔ⁵³","ɣɛ³³","ɣɛ³³","ʑe²¹","ʑɿ³³","ʑæ²¹","vɛ²¹","ʑe²¹"
"󲡄","ʑo⁵⁵","ndʑu⁵⁵","ʑɔ³³","ʑo⁵⁵","ʑo³³",,"ʑo²¹","zo²¹","me²¹",,"tse⁴⁴","tsæ³³",
"󲡅","ke³³","kɯ³³","kɔ²¹","ke³³","kɚ³³","ke³³","ko²¹",,,,,,"kɐ³³、ke⁵⁵"
"󲡆","ke³³","kɯ³³",,"ke³³","kɚ³³","kə²¹",,"kɛ³³","tɕiŋ²¹","tsɿ⁵⁵",,,"ʂo²¹"
"󲡇","ka¹³",,,"ka¹³","ka²¹",,,"kæ²¹",,,,,
"󲡈","ko³³","ko³³","kɔ³³","ko³³","kʊ³³","ko³³","kʼo³³","kᴀ⁵⁵","ku⁵⁵","ko³³","kɔ³³","kɔ⁵⁴","ko³³"
"󲡉","ko¹³","ko³³","kɔ³³","ko³³","ko³³","kʼə⁵³","kᴀ⁵⁵","kᴀ⁵⁵","ma²¹","ko³³",,"ko⁵⁵","ko⁴⁴"
"󲡊","kʼɪ³³","kʼuɛ³³",,"kʼui³³","tɕʼi⁵¹",,"tɕʼi³³","tɕʼi³³","pʼɯ³³","pʼɛ³³",,,"tɕʼi⁵⁵"
"󲡋","kʼa³³","ʔʊ³³","kʼɚr²¹","kʼua³³","kʼɚ⁵¹","kʼe²¹","ko⁵⁵","ko⁵⁵","ʔlɤ³³","ka³³","tə³¹","tʼo³³","tʼb³³"
"󲡌",,"kʼɯ³³","kʼo³³","dze³³",,"ka³³","kɛ⁵⁵","tsʼɛ⁵⁵","be⁵⁵",,,,
"󲡍",,,"kʼu³³","kʼu³³",,,"kʼu²¹",,,,,,
"󲡎","kʼu¹³","ʔɯ²¹","kʼu³³","kʼu³³",,"kɯ²¹","ɣ⁵⁵","ʔɛ⁵⁵","ku⁵⁵","ku³³",,"ku³³","ɛ⁵⁵"
"󲡏","ŋgɯ²¹","ŋgɐ¹³","lə⁵⁵",,,,"lɤ²¹","lɤr²¹","lui³³","ŋgu⁵⁵",,"gɯr²¹",
"󲡐","ŋgɯ²¹","ŋgɯ²¹","ŋgʼu²¹","ŋgɯ²¹",,,,"gu²¹",,"ŋgur³³",,"gu³³",
"󲡑",,,,"ŋɯ³³",,,"ŋɤ³³","ŋɤ³³","ɕe²¹",,,,
"󲡒","xɯ²¹","xɯ²¹","ɕe²¹","xɯ²¹","xɯ²¹","xɯa²¹","ɕe²¹","ɕe²¹","ɕy⁵⁵（da⁵⁵）","ʂɯ³³（du³³）","xɯ²¹",,"xɯ³³"
"󲡓","ʔo⁵⁵","ʔʊ⁵⁵","ʔʊ⁵⁵","ʔa⁵⁵","ʔɪ⁵⁵","ɯ⁵⁵","ʔɛ³³","ʔæ³³","Vɯ⁵⁵","（ʑɿ³³ȵu³³）",,"u⁵⁵",
"󲡔","ha²¹","ha¹³","har⁵⁵","hia¹³","har²¹","he⁵⁵",,"xe²¹","（aŋ⁵⁵）za²¹",,,"（ni²¹）xe²¹（zo¹³）",
"󲡕",,"ȵdʑo³³",,"hɤ²¹",,,,"tsʼur³³","ɕue¹³","tsʼa³³",,,
"󲡖","pi³³","i¹³","pər⁵⁵",,"pʊr²¹","pɯa⁵⁵","pɤr²¹","pɤr²¹","pɸ²¹","ʐy³","pə⁵⁵","pe⁵⁵","pɤ⁵⁵"
"󲡗",,"pi¹³",,,,,,,,"tɕua³³",,,
"󲡘",,"pi²¹",,"pi²¹","pi⁵¹",,"tʼe³³",,"du⁵⁵","tʼa³³",,,
"󲡙","pɪ³³","pɛ³³","tɔ³³","pɪ³³","pa³³","tɕi⁵³","pʼi³³","tʼɛ³³","pʼa³³","pɛ³³","tɛ⁵⁵",,"tɬɐ³³"
"󲡚","pɪ²¹","pɯ²¹",,"pɪ²¹",,,"pɤ²¹","pɤ²¹","peŋ²¹","po²¹","peŋ²¹","peŋ²¹","pɯ²¹"
"󲡛","pa³³","pa³³",,"pa²¹",,"ba⁵³",,,"（tsʼɿ²¹）ɸ³³","po³³",,,
"󲡜","po³³","po³³",,"po³³",,,,"po³³",,,,,"po³³"
"󲡝",,"di⁵⁵",,"pu⁵⁵","pʊ⁵⁵","dɯa²¹","ti⁵⁵",,,"die²¹",,,"pu³³"
"󲡞",,,,,,,"pɤ²¹","pɤ²¹",,,,,
"󲡟","pʼo³³",,"pʼo²¹","pʼo²¹","pʼo⁵¹","pʼu²¹","pʼu³³","pʼu³³",,"pʼu³³",,,
"󲡠","pʼo³³",,,,,,,,,,,,
"󲡡","pʼʊ²¹","pʼɯ²¹",,"pʼu²¹",,"bɯ⁵³",,,"tʂaŋ⁵⁵",,,,
"󲡢","bɪ²¹","tɕʼi⁵⁵","be³³","bie³³","bɪ³³",,"tsʼɿ²¹","tsʼɿ、bu³³","ȵɸ²¹","bi⁵⁵",,"bi³³",
"󲡣","bo⁵⁵","mbu⁵⁵",,,,,,,"keŋ²¹","bu³³",,,
"󲡤","bʊ²¹",,,,"hʊ²¹","bə²¹",,,"ʈɯ³³","bu³³",,,
"󲡥","mi²¹","mi²¹to²¹",,,,,"tʼo³³","ta⁵⁵、ŋa⁵⁵bmi²¹","tɕi⁵⁵","lcɯ²¹",,,
"󲡦","mɪ³³","me³³",,"mɪ³³",,,"tsʼɛ³³",,"suo²¹",,,,
"󲡧",,,,,,"xe³³","me²¹","mer²¹",,,,,
"󲡨",,"dɐ³³",,"fu⁵⁵",,"fu²¹",,"fu²¹","sa⁵⁵",,,,"fu²¹"
"󲡩","vu³³","vɐ³³",,"vu³³",,"ɔ⁵⁵","mɤ⁵⁵",,"meg⁵⁵","ȵi³³",,,
"󲡪",,"gu²¹","tsʼi²¹","gu²¹",,"ka³³",,"dur³³",,"tsi³³",,,
"󲡫","tsɪ³³","tsɛ³³",,,,,,,,,,,
"󲡬","tsɪ³³","dze³³","tʼu³³","tsɿ³³",,"tʼɯ³³","tsi²¹","tʼu²¹","dzɿ⁵⁵","sɿ⁵⁵",,"dzi³³","tsi³³"
"󲡭","tse¹³","tɕe³³","tsɿ³³",,,"tɕa³³","tsɛ⁵⁵","tsɛ⁵⁵","tsɿ⁵⁵","tsi⁵⁵",,,"tsɪ²¹"
"󲡮",,"vɪ³³",,"tso³³",,"ti⁵³","tsu³³","tsur³³","tou²¹",,,,
"󲡯","tsɯ⁵⁵","tɕi⁵⁵","tsi⁵⁵","tɕi⁵⁵","tɕɪ⁵⁵","tɕi⁵⁵","ga³³","txɤ²¹","ku²¹","tsɿ⁵⁵","kie⁵⁵","tsi⁵⁵","du²¹"
"󲡰",,"tsʼe¹³","tsʼi⁵⁵","tsʼɪ¹³","tɕʼi²¹","tɕʼaɯ⁵³",,"tɕʼir²¹","ku²¹","tsʼɪ³³",,,
"󲡱","tsʼɪ³³","tsʼɤ¹³","tsʼir⁵⁵","tsʼɪ¹³",,"tɕʼei⁵⁵","tsʼi²¹","tɕʼir²¹","tsʼɪr²¹","tsʼɪ⁵⁵","tsər⁵⁵","tsɛ⁵⁵","tsʼɿ²¹"
"󲡲",,,,,,,,"tsʼᴀ⁵⁵",,,,,
"󲡳","tsʼo¹³",,"tsʼɤr⁵⁵",,,,"tsʼæ²¹",,"pʼi²¹",,,,
"󲡴","tsʼu¹³","tsʼu³³","tsʼu³³","tsʼu³³","tsʼu²¹","tɕʼɯ²¹","tsʼu²¹","tsʼu⁵⁵","tsʼɿ⁵⁵","tsʼu³³","tsʼu³³",,"tsʼi³³"
"󲡵","tsʼɯ³³","tsʼɯ³³","tsʼe³³","tsʼɿ³³","tsʼɐ³³","tɕʼə⁵³",,,"tsʼɿ²¹","tsʼi³³㔣tsʼi²¹",,"tsʼɿ²¹",
"󲡶","tsʼɯ²¹","tsʼɯ³³","tsʼe²¹","tsʼe²¹","tɕʼɪ³³","tɕe⁵⁵","tsʼe²¹","tɕʼe²¹","tɕʼi⁵⁵","tsʼi³³","tsʼe²¹","tse³³","tsʼɪ³³"
"󲡷","tsʼɿ²¹","fe¹³",,"tɕʼi²¹",,,,,"sɿ²¹","tsʼɿ⁵⁵",,,
"󲡸",,,,,,"ȵdzou²¹",,"dzᴀ²¹",,,,,
"󲡹","ndzɯ²¹","dʑʊ²¹",,"ɳdu³³","ndzo²¹",,,,,,,,
"󲡺","sa³³","sa³","sar²¹","sa³³",,"ɕe⁵³","ɕe³³","ɕe³",,"sɔ³³",,"ʂɔ²¹","se²¹"
"󲡻",,,,"ʂo²¹",,,,"sᴀ²¹",,"sᴀ²¹",,,
"󲡼","sɯ²¹psɯ³³","sɯ²¹",,"sɿ²¹",,,,,,,,,
"󲡽","sɿ⁵⁵",,,,,,,,,,,,
"󲡾","zo¹³","zʊ¹³","zo⁵⁵","zʊ¹³","zu²¹","ʑou⁵³",,"zɿ²¹","zo²¹",,,,
"󲡿","tu¹³",,,,,,"tɛ²¹","tɛ²¹",,,,,
"󲢀","tʼɯ²¹","tʼɯ²¹",,"tʼɤ²¹",,,,,,"ka⁵⁵",,,
"󲢁","dy³³","di³³",,"ndi⁵⁵",,,"dɯr²¹",,,,,,
